"filename", "language", "JSON with Comments", "JavaScript", "Batch", "Markdown", "JSON", "HTML", "CSS", "Database", "XML", "CSV", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\Utils\petaliases.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\accept.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\apply.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 61
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\ban.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 50
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\cstmrl.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\decline.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\editrolekw.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\giverole.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 56
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\mute.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\offences.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\punish.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 141
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\purgemessages.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 70
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\role.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\rolecolor.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\rolename.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\snipe.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\submit.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\timeout.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 45
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\unmute.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\unpunish.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\addcredits.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\addrole.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\approve.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\boost.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\cmd.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\data.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 60
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\deldata.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\dm.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 41
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\eval.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 72
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\execute.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\export.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 46
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\admin\fetchuser.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
