Date : 2022-02-09 12:46:41
Directory : c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite
Total : 204 files,  24282 codes, 872 comments, 4459 blanks, all 29613 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\$bin\out\styles\prettify-tomorrow.css               | CSS                |         74 |         33 |         26 |        133 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\.eslintrc.json                                      | JSON with Comments |         56 |          1 |          0 |         57 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\README.md                                           | Markdown           |          6 |          0 |          3 |          9 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\database.sqlite                                     | Database           |         46 |          0 |          0 |         46 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\package.json                                        | JSON               |         48 |          0 |          1 |         49 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\Utils\Constants.js                              | JavaScript         |        311 |        358 |          4 |        673 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\Utils\Construct.js                              | JavaScript         |         10 |          9 |          2 |         21 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\Utils\Functions.js                              | JavaScript         |        259 |        165 |          5 |        429 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\Utils\Logger.js                                 | JavaScript         |         22 |         31 |          2 |         55 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\Utils\petaliases.js                             | JavaScript         |         28 |          7 |          4 |         39 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\accept.js              | JavaScript         |         34 |          0 |          1 |         35 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\apply.js               | JavaScript         |         56 |          4 |          1 |         61 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\ban.js                 | JavaScript         |         45 |          1 |          4 |         50 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\cstmrl.js              | JavaScript         |         22 |          0 |          1 |         23 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\decline.js             | JavaScript         |         41 |          0 |          1 |         42 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\editrolekw.js          | JavaScript         |         44 |          0 |          2 |         46 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\giverole.js            | JavaScript         |         53 |          2 |          1 |         56 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\mute.js                | JavaScript         |         66 |          0 |          1 |         67 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\offences.js            | JavaScript         |         31 |          0 |          2 |         33 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\punish.js              | JavaScript         |        130 |          9 |          2 |        141 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\purgemessages.js       | JavaScript         |         62 |          4 |          4 |         70 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\role.js                | JavaScript         |         46 |          0 |          4 |         50 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\rolecolor.js           | JavaScript         |         63 |          0 |          4 |         67 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\rolename.js            | JavaScript         |         36 |          0 |          4 |         40 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\snipe.js               | JavaScript         |         25 |          0 |          1 |         26 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\submit.js              | JavaScript         |         30 |          0 |          1 |         31 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\timeout.js             | JavaScript         |         39 |          4 |          2 |         45 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\unmute.js              | JavaScript         |         41 |          0 |          1 |         42 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\Support Server Only\unpunish.js            | JavaScript         |         68 |          0 |          1 |         69 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\addcredits.js                        | JavaScript         |         34 |          0 |          1 |         35 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\addrole.js                           | JavaScript         |         38 |          0 |          1 |         39 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\approve.js                           | JavaScript         |         47 |          0 |          1 |         48 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\boost.js                             | JavaScript         |         67 |          0 |          1 |         68 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\cmd.js                               | JavaScript         |         46 |          0 |          1 |         47 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\data.js                              | JavaScript         |         50 |          9 |          1 |         60 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\deldata.js                           | JavaScript         |         27 |          0 |          1 |         28 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\dm.js                                | JavaScript         |         37 |          2 |          2 |         41 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\eval.js                              | JavaScript         |         63 |          5 |          4 |         72 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\execute.js                           | JavaScript         |         15 |          0 |          1 |         16 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\export.js                            | JavaScript         |         39 |          6 |          1 |         46 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\fetchuser.js                         | JavaScript         |         27 |          0 |          1 |         28 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\forcemarry.js                        | JavaScript         |         40 |          0 |          2 |         42 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\get.js                               | JavaScript         |         41 |          0 |          1 |         42 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\give.js                              | JavaScript         |         71 |          3 |          3 |         77 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\givemeallroles.js                    | JavaScript         |         30 |          1 |          1 |         32 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\admin\permstun.js                          | JavaScript         |         26 |          1 |          0 |         27 |
