"filename", "language", "JSON", "JavaScript", "Markdown", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\prefix.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\profile.js", "JavaScript", 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\pshop.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\ptransfer.js", "JavaScript", 0, 49, 0, 0, 0, 0, 4, 53
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\pull.js", "JavaScript", 0, 17, 0, 0, 0, 1, 1, 19
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\punish.js", "JavaScript", 0, 129, 0, 0, 0, 9, 2, 140
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\purge.js", "JavaScript", 0, 47, 0, 0, 0, 2, 1, 50
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\purgemessages.js", "JavaScript", 0, 60, 0, 0, 0, 4, 4, 68
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\quote.js", "JavaScript", 0, 37, 0, 0, 0, 2, 1, 40
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\quotes.js", "JavaScript", 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\reject.js", "JavaScript", 0, 39, 0, 0, 0, 0, 1, 40
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\reload.js", "JavaScript", 0, 29, 0, 0, 0, 1, 0, 30
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\remove.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 31
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\removequote.js", "JavaScript", 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\removereplacer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\replacers.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\reset.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\roast.js", "JavaScript", 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\rob.js", "JavaScript", 0, 62, 0, 0, 0, 1, 3, 66
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\role.js", "JavaScript", 0, 41, 0, 0, 0, 0, 5, 46
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\rolecolor.js", "JavaScript", 0, 57, 0, 0, 0, 0, 4, 61
"c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\cmds\roleinfo.js", "JavaScript", 0, 30, 0, 0, 0, 0, 1, 31
