"filename", "language", "JSON", "Markdown", "JavaScript", "Batch", "Database", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\replacers.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\reset.js", "JavaScript", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\roast.js", "JavaScript", 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\rob.js", "JavaScript", 0, 0, 62, 0, 0, 1, 3, 66
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\role.js", "JavaScript", 0, 0, 41, 0, 0, 0, 5, 46
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\rolecolor.js", "JavaScript", 0, 0, 57, 0, 0, 0, 4, 61
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\roleinfo.js", "JavaScript", 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\rolemembers.js", "JavaScript", 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\rolename.js", "JavaScript", 0, 0, 33, 0, 0, 0, 4, 37
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\say.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\search.js", "JavaScript", 0, 0, 120, 0, 0, 1, 3, 124
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\sell.js", "JavaScript", 0, 0, 80, 0, 0, 1, 2, 83
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\sentence.js", "JavaScript", 0, 0, 63, 0, 0, 1, 4, 68
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\set.js", "JavaScript", 0, 0, 58, 0, 0, 15, 1, 74
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\setprefix.js", "JavaScript", 0, 0, 20, 0, 0, 5, 2, 27
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\shop.js", "JavaScript", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\slowmode.js", "JavaScript", 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\snipe.js", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\source.js", "JavaScript", 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\spawn.js", "JavaScript", 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\spouse.js", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\steal.js", "JavaScript", 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\stroke.js", "JavaScript", 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\stun.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\submit.js", "JavaScript", 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\suggest.js", "JavaScript", 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\support.js", "JavaScript", 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\take.js", "JavaScript", 0, 0, 48, 0, 0, 0, 3, 51
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\tame.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\cmds\trade.js", "JavaScript", 0, 0, 153, 0, 0, 9, 15, 177
